sku_variant,image_url
2954115a2c,https://contents.mediadecathlon.com/m18434199/k$39db56c8a1650cf0a00c7f0cbe36aa34/sq/10f1202d-cf90-4f61-8dcc-d701c535aa2c_c5c249c14.jpg?format=auto&f=800x0
9b79429b10,https://contents.mediadecathlon.com/m18434199/k$39db56c8a1650cf0a00c7f0cbe36aa34/sq/10f1202d-cf90-4f61-8dcc-d701c535aa2c_c5c249c14.jpg?format=auto&f=800x0
244ebf3798,https://contents.mediadecathlon.com/m18434199/k$39db56c8a1650cf0a00c7f0cbe36aa34/sq/10f1202d-cf90-4f61-8dcc-d701c535aa2c_c5c249c14.jpg?format=auto&f=800x0
1b7bfc846f,https://contents.mediadecathlon.com/m18434199/k$39db56c8a1650cf0a00c7f0cbe36aa34/sq/10f1202d-cf90-4f61-8dcc-d701c535aa2c_c5c249c14.jpg?format=auto&f=800x0
267a5e89b2,https://contents.mediadecathlon.com/m18434199/k$39db56c8a1650cf0a00c7f0cbe36aa34/sq/10f1202d-cf90-4f61-8dcc-d701c535aa2c_c5c249c14.jpg?format=auto&f=800x0
cece18d005,https://contents.mediadecathlon.com/m18434199/k$39db56c8a1650cf0a00c7f0cbe36aa34/sq/10f1202d-cf90-4f61-8dcc-d701c535aa2c_c5c249c14.jpg?format=auto&f=800x0
18b1de10f3,https://contents.mediadecathlon.com/m22208066/k$bc1df75a9fe6a8b3f9f68ff7d1d02e11/sq/08c8ac57-64d1-4e25-bbcd-b174a3c983f6_c4c4c251.jpg?format=auto&f=800x0
1a572cbb63,https://contents.mediadecathlon.com/m22208066/k$bc1df75a9fe6a8b3f9f68ff7d1d02e11/sq/08c8ac57-64d1-4e25-bbcd-b174a3c983f6_c4c4c251.jpg?format=auto&f=800x0
bc25a264b0,https://contents.mediadecathlon.com/m22208066/k$bc1df75a9fe6a8b3f9f68ff7d1d02e11/sq/08c8ac57-64d1-4e25-bbcd-b174a3c983f6_c4c4c251.jpg?format=auto&f=800x0
9abcba8fc6,https://contents.mediadecathlon.com/m22208066/k$bc1df75a9fe6a8b3f9f68ff7d1d02e11/sq/08c8ac57-64d1-4e25-bbcd-b174a3c983f6_c4c4c251.jpg?format=auto&f=800x0
e6e06d498e,https://contents.mediadecathlon.com/m22208066/k$bc1df75a9fe6a8b3f9f68ff7d1d02e11/sq/08c8ac57-64d1-4e25-bbcd-b174a3c983f6_c4c4c251.jpg?format=auto&f=800x0
03199295b4,https://contents.mediadecathlon.com/m22208066/k$bc1df75a9fe6a8b3f9f68ff7d1d02e11/sq/08c8ac57-64d1-4e25-bbcd-b174a3c983f6_c4c4c251.jpg?format=auto&f=800x0
ad833371b7,https://contents.mediadecathlon.com/m22208066/k$bc1df75a9fe6a8b3f9f68ff7d1d02e11/sq/08c8ac57-64d1-4e25-bbcd-b174a3c983f6_c4c4c251.jpg?format=auto&f=800x0
5b3d434391,https://contents.mediadecathlon.com/m22208066/k$bc1df75a9fe6a8b3f9f68ff7d1d02e11/sq/08c8ac57-64d1-4e25-bbcd-b174a3c983f6_c4c4c251.jpg?format=auto&f=800x0
0fdcbff5b5,https://contents.mediadecathlon.com/m23919009/k$45fd6a5fa75ebe791fe805a458a148e3/sq/43d6ad14-ddda-4f50-93b3-37978c76df6f_c66c23c64.jpg?format=auto&f=800x0
2fb2a1de88,https://contents.mediadecathlon.com/m23919009/k$45fd6a5fa75ebe791fe805a458a148e3/sq/43d6ad14-ddda-4f50-93b3-37978c76df6f_c66c23c64.jpg?format=auto&f=800x0
daa219fa8b,https://contents.mediadecathlon.com/m23919009/k$45fd6a5fa75ebe791fe805a458a148e3/sq/43d6ad14-ddda-4f50-93b3-37978c76df6f_c66c23c64.jpg?format=auto&f=800x0
d5fb3f2c84,https://contents.mediadecathlon.com/m23919009/k$45fd6a5fa75ebe791fe805a458a148e3/sq/43d6ad14-ddda-4f50-93b3-37978c76df6f_c66c23c64.jpg?format=auto&f=800x0
8a25c08345,https://contents.mediadecathlon.com/m23919009/k$45fd6a5fa75ebe791fe805a458a148e3/sq/43d6ad14-ddda-4f50-93b3-37978c76df6f_c66c23c64.jpg?format=auto&f=800x0
c55335e272,https://contents.mediadecathlon.com/m23919009/k$45fd6a5fa75ebe791fe805a458a148e3/sq/43d6ad14-ddda-4f50-93b3-37978c76df6f_c66c23c64.jpg?format=auto&f=800x0
12376257fe,https://contents.mediadecathlon.com/m23890412/k$5df93301c0e8890393318fa4547ffbc1/sq/9b9d618f-189d-4758-9733-2c140d79d882_c4c1c9.jpg?format=auto&f=800x0
578e6891a9,https://contents.mediadecathlon.com/m23890412/k$5df93301c0e8890393318fa4547ffbc1/sq/9b9d618f-189d-4758-9733-2c140d79d882_c4c1c9.jpg?format=auto&f=800x0
d6331e5aaa,https://contents.mediadecathlon.com/m23890412/k$5df93301c0e8890393318fa4547ffbc1/sq/9b9d618f-189d-4758-9733-2c140d79d882_c4c1c9.jpg?format=auto&f=800x0
df30fcbede,https://contents.mediadecathlon.com/m23890412/k$5df93301c0e8890393318fa4547ffbc1/sq/9b9d618f-189d-4758-9733-2c140d79d882_c4c1c9.jpg?format=auto&f=800x0
